iterations, learning_rate, batch_size, keep_prob, compute_time, accuracy
20,0.001,100,0.8,0:00:02,0.04
20,0.001,100,0.8,0:00:02,0.04

20,0.001,100,0.8,0:00:02,0.04
20,0.001,100,0.8,0:00:02,0.04
1000,0.01,100,0.8,0:01:16,0.05
1000,0.001,100,0.8,0:01:18,0.47
1000,0.001,100,0.9,0:01:18,0.57
1000,0.001,100,0.9,0:01:17,0.73went with image normalization (min-max)
1000,0.001,100,0.9,0:01:17,0.73,went with image normalization (min-max)
1000,0.001,100,0.9,0:00:51,0.75,normalization and changed filters to 4x4px
1000,0.001,1000,0.9,0:08:14,0.78,normalization and changed filters to 4x4px
20000,0.001,1000,0.9,3:31:06,0.85,normalization and changed filters to 4x4px
10000,0.001,50,0.9,0:05:49,0.71,normalization and changed filters to 4x4px. uses an augmented dataset
10000,0.001,100,0.9,0:10:18,0.71,normalization and changed filters to 4x4px. uses an augmented dataset (20x)
10000,0.001,100,0.9,0:10:44,0.74,normalization and changed filters to 4x4px. uses an augmented dataset (30x)
10000,0.001,100,0.9,0:12:30,0.74,normalization and changed filters to 4x4px. uses an augmented dataset (40x)
10000,0.001,1000,0.9,1:21:56,0.77,normalization and changed filters to 4x4px. uses an augmented dataset (40x)
10000,0.001,200,0.9,0:20:21,0.73,normalization and changed filters to 4x4px. uses an augmented dataset (40x)
1000,0.001,100,0.9,0:01:14,0.44,normalization and changed filters to 4x4px. uses an augmented dataset (40x)
10,0.001,1000,0.9,0:00:55,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x)
10,0.001,1000,0.9,0:00:55,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
10,0.001,100,0.9,0:00:06,0.06,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
10,0.2,100,0.9,0:00:08,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
100,0.2,100,0.9,0:00:59,0.06,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
100,0.2,100,0.9,0:00:08,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1000,0.2,100,0.9,0:01:21,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1000,0.001,100,0.9,0:01:25,0.41,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1000,0.001,100,0.9,0:01:22,0.38,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1000,0.001,100,0.9,0:01:23,0.31,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1000,0.001,100,0.9,0:01:24,0.42,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
10000,0.001,100,0.9,0:13:41,0.73,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1,0.001,100,0.9,0:00:00,0.04,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1,0.001,100,0.9,0:00:00,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
1,0.001,100,0.9,0:00:01,0.02,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
300000,0.001,100,0.9,6:49:44,0.86,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
50000,0.001,100,0.9,1:08:03,0.82,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
100000,0.001,100,0.9,2:17:01,0.83,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
5,0.001,100,0.9,0:00:04,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
5,0.001,100,0.9,0:00:01,0.06,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
5,0.001,100,0.9,0:00:01,0.06,normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model
100000,0.001,100,0.9,2:15:49,0.85,improved normalization and changed filters to 4x4px. uses an augmented dataset (40x), submission-model

10,0.001,100,0.9,0:00:01,0.06,normalization and changed filters to 4x4px. uses an augmented dataset (50x), post-submission-model
10,0.001,100,0.9,0:00:02,0.06,normalization and changed filters to 4x4px. uses an augmented dataset (80x), post-submission-model

10000,0.001,100,0.9,0:22:18,0.77,normalization and changed filters to 4x4px. uses an augmented dataset (80x), post-submission-model
1,0.001,13,0.9,0:00:00,0.1,normalization and changed filters to 4x4px. uses an augmented dataset (80x), post-submission-model
10000,0.001,100,0.9,0:17:31,0.54,normalization and changed filters to 4x4px. uses an augmented dataset (80x), post-submission-model
10,0.001,9,0.9,0:00:01,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (40x)
1,0.001,9,0.9,0:00:00,0.05,normalization and changed filters to 4x4px. uses an augmented dataset (80x), post-submission-model
1,0.001,9,0.9,0:00:00,0.02,normalization and changed filters to 4x4px. uses an augmented dataset (80x), post-submission-model
1,0.001,9,0.9,0:00:00,0.0,imgnormalization & changed filters to 3x3px & L2norm & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
1000,0.001,9,0.9,0:00:13,0.06,imgnormalization & changed filters to 3x3px & L2norm & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
1000,0.001,9,0.9,0:01:54,0.05,imgnormalization & changed filters to 3x3px & L2norm & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
1000,0.001,9,0.9,0:01:08,0.06,imgnormalization & changed filters to 3x3px & L2norm & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
1000,0.001,9,0.9,0:01:07,0.07,imgnormalization & changed filters to 3x3px & not L2norm & dropout & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
1000,0.001,9,0.9,0:01:21,0.06,imgnormalization & changed filters to 3x3px & not L2norm & dropout & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
100,0.001,9,0.9,0:00:01,0.06,imgnormalization & changed filters to 3x3px & not L2norm & dropout & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
1000,0.001,9,0.9,0:00:05,0.35,imgnormalization & changed filters to 3x3px & not L2norm & dropout & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
10000,0.001,9,0.9,0:00:43,0.93,imgnormalization & changed filters to 3x3px & not L2norm & dropout & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
10000,0.001,9,0.9,0:00:47,0.86,imgnormalization & changed filters to 3x3px & not L2norm & dropout & 3Conv-pool-2FC. uses an augmented dataset (80x), post-submission-model
